Grupo,Rank,Team Name,Matches Played,Wins,Draws,Losses,Goals,Goal Difference,Points
A,1.,Bayern Múnich,6,5,1,0,12:6,6,16
A,2.,Copenhague,6,2,2,2,8:8,0,8
B,1.,Arsenal,6,4,1,1,16:4,12,13
B,2.,PSV,6,2,3,1,8:10,-2,9
C,1.,Real Madrid,6,6,0,0,16:7,9,18
C,2.,Nápoles,6,3,1,2,10:9,1,10
D,1.,Real Sociedad,6,3,3,0,7:2,5,12
D,2.,Inter,6,3,3,0,8:5,3,12
E,1.,Atlético de Madrid,6,4,2,0,17:6,11,14
E,2.,Lazio,6,3,1,2,7:7,0,10
F,1.,Borussia Dortmund,6,3,2,1,7:4,3,11
F,2.,PSG,6,2,2,2,9:8,1,8
G,1.,Manchester City,6,6,0,0,18:7,11,18
G,2.,RB Leipzig,6,4,0,2,13:10,3,12
H,1.,Barcelona,6,4,0,2,12:6,6,12
H,2.,Oporto,6,4,0,2,15:8,7,12