Temporada,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2013-2014,Semi-finals,Wed,2014-04-23,,Real Madrides,1–0,deBayern Munich,,Estadio Santiago Bernabéu,Howard Webb,Match Report,Leg 1 of 2
2013-2014,Semi-finals,Tue,2014-04-29,,Bayern Munichde,0–4,esReal Madrid,,Fußball Arena München,Pedro Proença,Match Report,Leg 2 of 2; Real Madrid won
2013-2014,Semi-finals,Wed,2014-04-30,,Chelseaeng,1–3,esAtlético Madrid,,Stamford Bridge,Nicola Rizzoli,Match Report,Leg 2 of 2; Atlético Madrid won
2013-2014,,,,,,,,,,,,
2013-2014,Final,Sat,2014-05-24,,Real Madrides,4–1,esAtlético Madrid,,Estádio do Sport Lisboa e Benfica (Neutral Site),Björn Kuipers,Match Report,Required Extra Time
2014-2015,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2014-2015,Round of 16,Tue,2015-02-17,20:45,Paris S-Gfr,1–1,engChelsea,"45,713",Parc des Princes,Cüneyt Çakιr,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-02-17,21:45,Shakhtarua,0–0,deBayern Munich,"34,915",L'viv Arena,Alberto Undiano,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-18,20:45,Baselch,1–1,ptPorto,"34,464",St. Jakob-Park,Mark Clattenburg,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-18,20:45,Schalke 04de,0–2,esReal Madrid,"54,400",Veltins-Arena,Martin Atkinson,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-02-24,19:45,Manchester Cityeng,1–2,esBarcelona,"45,550",Etihad Stadium,Felix Brych,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-02-24,20:45,Juventusit,2–1,deDortmund,"41,182",Allianz Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-25,19:45,Arsenaleng,1–3,frMonaco,"59,868",Emirates Stadium,Deniz Aytekin,Match Report,Leg 1 of 2
2014-2015,Round of 16,Wed,2015-02-25,20:45,Leverkusende,1–0,esAtlético Madrid,"26,230",BayArena,Pavel Královec,Match Report,Leg 1 of 2
2014-2015,Round of 16,Tue,2015-03-10,19:45,Portopt,4–0,chBasel,"43,108",Estádio Do Dragão,Jonas Eriksson,Match Report,Leg 2 of 2; Porto won
2014-2015,Round of 16,Tue,2015-03-10,20:45,Real Madrides,3–4,deSchalke 04,"69,986",Estadio Santiago Bernabéu,Damir Skomina,Match Report,Leg 2 of 2; Real Madrid won
2014-2015,Round of 16,Wed,2015-03-11,19:45,Chelseaeng,2–2,frParis S-G,"37,692",Stamford Bridge,Björn Kuipers,Match Report,Leg 2 of 2; Paris S-G won; Required Extra Time
2014-2015,Round of 16,Wed,2015-03-11,20:45,Bayern Munichde,7–0,uaShakhtar,"70,000",Allianz Arena,William Collum,Match Report,Leg 2 of 2; Bayern Munich won
2014-2015,Round of 16,Tue,2015-03-17,20:45,Monacofr,0–2,engArsenal,17,Stade Louis II.,Svein Oddvar Moen,Match Report,Leg 2 of 2; Monaco won
2014-2015,Round of 16,Tue,2015-03-17,20:45,Atlético Madrides,(3)1–0(2),deLeverkusen,"48,273",Estadio Vicente Calderón,Nicola Rizzoli,Match Report,Leg 2 of 2; Atlético Madrid won; Atlético Madrid won on penalty kicks following extra time
2014-2015,Round of 16,Wed,2015-03-18,20:45,Dortmundde,0–3,itJuventus,"65,851",Signal Iduna Park,Milorad Mažić,Match Report,Leg 2 of 2; Juventus won
2014-2015,Round of 16,Wed,2015-03-18,20:45,Barcelonaes,1–0,engManchester City,"92,551",Camp Nou,Gianluca Rocchi,Match Report,Leg 2 of 2; Barcelona won
2014-2015,,,,,,,,,,,,
2014-2015,Quarter-finals,Tue,2015-04-14,20:45,Juventusit,1–0,frMonaco,"40,801",Allianz Stadium,Pavel Královec,Match Report,Leg 1 of 2
2014-2015,Quarter-finals,Tue,2015-04-14,20:45,Atlético Madrides,0–0,esReal Madrid,"52,553",Estadio Vicente Calderón,Milorad Mažić,Match Report,Leg 1 of 2
2014-2015,Quarter-finals,Wed,2015-04-15,19:45,Portopt,3–1,deBayern Munich,"50,092",Estádio Do Dragão,Carlos Velasco,Match Report,Leg 1 of 2
2014-2015,Quarter-finals,Wed,2015-04-15,20:45,Paris S-Gfr,1–3,esBarcelona,"45,893",Parc des Princes,Mark Clattenburg,Match Report,Leg 1 of 2
2014-2015,Quarter-finals,Tue,2015-04-21,20:45,Barcelonaes,2–0,frParis S-G,"84,477",Camp Nou,Svein Oddvar Moen,Match Report,Leg 2 of 2; Barcelona won
2014-2015,Quarter-finals,Tue,2015-04-21,20:45,Bayern Munichde,6–1,ptPorto,"70,000",Allianz Arena,Martin Atkinson,Match Report,Leg 2 of 2; Bayern Munich won
2014-2015,Quarter-finals,Wed,2015-04-22,20:45,Monacofr,0–0,itJuventus,"17,000",Stade Louis II.,William Collum,Match Report,Leg 2 of 2; Juventus won
2014-2015,Quarter-finals,Wed,2015-04-22,20:45,Real Madrides,1–0,esAtlético Madrid,"80,000",Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 2 of 2; Real Madrid won
2014-2015,,,,,,,,,,,,
2014-2015,Semi-finals,Tue,2015-05-05,20:45,Juventusit,2–1,esReal Madrid,"41,011",Allianz Stadium,Martin Atkinson,Match Report,Leg 1 of 2
2014-2015,Semi-finals,Wed,2015-05-06,20:45,Barcelonaes,3–0,deBayern Munich,"95,639",Camp Nou,Nicola Rizzoli,Match Report,Leg 1 of 2
2014-2015,Semi-finals,Tue,2015-05-12,20:45,Bayern Munichde,3–2,esBarcelona,"70,000",Allianz Arena,Mark Clattenburg,Match Report,Leg 2 of 2; Barcelona won
2014-2015,Semi-finals,Wed,2015-05-13,20:45,Real Madrides,1–1,itJuventus,"78,153",Estadio Santiago Bernabéu,Jonas Eriksson,Match Report,Leg 2 of 2; Juventus won
2014-2015,,,,,,,,,,,,
2014-2015,Final,Sat,2015-06-06,20:45,Juventusit,1–3,esBarcelona,"70,442",Olympiastadion Berlin (Neutral Site),Cüneyt Çakιr,Match Report,
2015-2016,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2015-2016,Round of 16,Tue,2016-02-16,19:45,Benficapt,1–0,ruZenit,"48,615",Estádio do Sport Lisboa e Benfica,Gianluca Rocchi,Match Report,Leg 1 of 2
2015-2016,Round of 16,Tue,2016-02-16,20:45,Paris S-Gfr,2–1,engChelsea,"46,505",Parc des Princes,Carlos Velasco,Match Report,Leg 1 of 2
2015-2016,Round of 16,Wed,2016-02-17,20:45,Romait,0–2,esReal Madrid,"55,612",Stadio Olimpico,Pavel Královec,Match Report,Leg 1 of 2
2015-2016,Round of 16,Wed,2016-02-17,20:45,Gentbe,2–3,deWolfsburg,"19,978",GHELAMCO-arena,Svein Oddvar Moen,Match Report,Leg 1 of 2
2015-2016,Round of 16,Tue,2016-02-23,19:45,Arsenaleng,0–2,esBarcelona,"59,889",Emirates Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2015-2016,Round of 16,Tue,2016-02-23,20:45,Juventusit,2–2,deBayern Munich,"41,332",Allianz Stadium,Martin Atkinson,Match Report,Leg 1 of 2
2015-2016,Round of 16,Wed,2016-02-24,20:45,PSV Eindhovennl,0–0,esAtlético Madrid,"34,948",Philips Stadion,Daniele Orsato,Match Report,Leg 1 of 2
2015-2016,Round of 16,Wed,2016-02-24,21:45,Dynamo Kyivua,1–3,engManchester City,"53,691",NSK Olimpijs'kyj,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2015-2016,Round of 16,Tue,2016-03-08,20:45,Wolfsburgde,1–0,beGent,"23,475",Volkswagen Arena,Damir Skomina,Match Report,Leg 2 of 2; Wolfsburg won
2015-2016,Round of 16,Tue,2016-03-08,20:45,Real Madrides,2–0,itRoma,"76,654",Estadio Santiago Bernabéu,Szymon Marciniak,Match Report,Leg 2 of 2; Real Madrid won
2015-2016,Round of 16,Wed,2016-03-09,19:45,Chelseaeng,1–2,frParis S-G,"37,591",Stamford Bridge,Felix Brych,Match Report,Leg 2 of 2; Paris S-G won
2015-2016,Round of 16,Wed,2016-03-09,20:00,Zenitru,1–2,ptBenfica,"17,688",Stadion Petrovskij,Viktor Kassai,Match Report,Leg 2 of 2; Benfica won
2015-2016,Round of 16,Tue,2016-03-15,19:45,Manchester Cityeng,0–0,uaDynamo Kyiv,"43,630",Etihad Stadium,Ovidiu Hațegan,Match Report,Leg 2 of 2; Manchester City won
2015-2016,Round of 16,Tue,2016-03-15,20:45,Atlético Madrides,(8)0–0(7),nlPSV Eindhoven,"50,135",Estadio Vicente Calderón,Mark Clattenburg,Match Report,Leg 2 of 2; Atlético Madrid won; Atlético Madrid won on penalty kicks following extra time
2015-2016,Round of 16,Wed,2016-03-16,20:45,Barcelonaes,3–1,engArsenal,"76,092",Camp Nou,Sergey Karasev,Match Report,Leg 2 of 2; Barcelona won
2015-2016,Round of 16,Wed,2016-03-16,20:45,Bayern Munichde,4–2,itJuventus,"70,000",Allianz Arena,Jonas Eriksson,Match Report,Leg 2 of 2; Bayern Munich won; Required Extra Time
2015-2016,,,,,,,,,,,,
2015-2016,Quarter-finals,Tue,2016-04-05,20:45,Bayern Munichde,1–0,ptBenfica,"70,000",Allianz Arena,Szymon Marciniak,Match Report,Leg 1 of 2
2015-2016,Quarter-finals,Tue,2016-04-05,20:45,Barcelonaes,2–1,esAtlético Madrid,"88,534",Camp Nou,Felix Brych,Match Report,Leg 1 of 2
2015-2016,Quarter-finals,Wed,2016-04-06,20:45,Paris S-Gfr,2–2,engManchester City,"47,228",Parc des Princes,Milorad Mažić,Match Report,Leg 1 of 2
2015-2016,Quarter-finals,Wed,2016-04-06,20:45,Wolfsburgde,2–0,esReal Madrid,"26,400",Volkswagen Arena,Gianluca Rocchi,Match Report,Leg 1 of 2
2015-2016,Quarter-finals,Tue,2016-04-12,19:45,Manchester Cityeng,1–0,frParis S-G,"53,039",Etihad Stadium,Carlos Velasco,Match Report,Leg 2 of 2; Manchester City won
2015-2016,Quarter-finals,Tue,2016-04-12,20:45,Real Madrides,3–0,deWolfsburg,"76,684",Estadio Santiago Bernabéu,Viktor Kassai,Match Report,Leg 2 of 2; Real Madrid won
2015-2016,Quarter-finals,Wed,2016-04-13,19:45,Benficapt,2–2,deBayern Munich,"63,235",Estádio do Sport Lisboa e Benfica,Björn Kuipers,Match Report,Leg 2 of 2; Bayern Munich won
2015-2016,Quarter-finals,Wed,2016-04-13,20:45,Atlético Madrides,2–0,esBarcelona,"52,851",Estadio Vicente Calderón,Nicola Rizzoli,Match Report,Leg 2 of 2; Atlético Madrid won
2015-2016,,,,,,,,,,,,
2015-2016,Semi-finals,Tue,2016-04-26,19:45,Manchester Cityeng,0–0,esReal Madrid,"52,221",Etihad Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2015-2016,Semi-finals,Wed,2016-04-27,20:45,Atlético Madrides,1–0,deBayern Munich,"52,127",Estadio Vicente Calderón,Mark Clattenburg,Match Report,Leg 1 of 2
2015-2016,Semi-finals,Tue,2016-05-03,20:45,Bayern Munichde,2–1,esAtlético Madrid,"70,000",Allianz Arena,Cüneyt Çakιr,Match Report,Leg 2 of 2; Atlético Madrid won
2015-2016,Semi-finals,Wed,2016-05-04,20:45,Real Madrides,1–0,engManchester City,"78,300",Estadio Santiago Bernabéu,Damir Skomina,Match Report,Leg 2 of 2; Real Madrid won
2015-2016,,,,,,,,,,,,
2015-2016,Final,Sat,2016-05-28,20:45,Real Madrides,(5)1–1(3),esAtlético Madrid,"71,942",Stadio Giuseppe Meazza (Neutral Site),Mark Clattenburg,Match Report,Real Madrid won on penalty kicks following extra time
2016-2017,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2016-2017,Round of 16,Tue,2017-02-14,19:45,Benficapt,1–0,deDortmund,"55,124",Estádio do Sport Lisboa e Benfica,Nicola Rizzoli,Match Report,Leg 1 of 2
2016-2017,Round of 16,Tue,2017-02-14,20:45,Paris S-Gfr,4–0,esBarcelona,"46,484",Parc des Princes,Szymon Marciniak,Match Report,Leg 1 of 2
2016-2017,Round of 16,Wed,2017-02-15,20:45,Bayern Munichde,5–1,engArsenal,"70,000",Allianz Arena,Milorad Mažić,Match Report,Leg 1 of 2
2016-2017,Round of 16,Wed,2017-02-15,20:45,Real Madrides,3–1,itNapoli,"78,000",Estadio Santiago Bernabéu,Damir Skomina,Match Report,Leg 1 of 2
2016-2017,Round of 16,Tue,2017-02-21,19:45,Manchester Cityeng,5–3,frMonaco,"53,351",Etihad Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2016-2017,Round of 16,Tue,2017-02-21,20:45,Leverkusende,2–4,esAtlético Madrid,"29,300",BayArena,William Collum,Match Report,Leg 1 of 2
2016-2017,Round of 16,Wed,2017-02-22,19:45,Portopt,0–2,itJuventus,"49,229",Estádio Do Dragão,Felix Brych,Match Report,Leg 1 of 2
2016-2017,Round of 16,Wed,2017-02-22,20:45,Sevillaes,2–1,engLeicester City,"38,834",Estadio Ramón Sánchez Pizjuán,Clément Turpin,Match Report,Leg 1 of 2
2016-2017,Round of 16,Tue,2017-03-07,19:45,Arsenaleng,1–5,deBayern Munich,"59,911",Emirates Stadium,Tasos Sidiropoulos,Match Report,Leg 2 of 2; Bayern Munich won
2016-2017,Round of 16,Tue,2017-03-07,20:45,Napoliit,1–3,esReal Madrid,"56,695",Stadio San Paolo,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
2016-2017,Round of 16,Wed,2017-03-08,20:45,Dortmundde,4–0,ptBenfica,"65,849",Signal Iduna Park,Martin Atkinson,Match Report,Leg 2 of 2; Dortmund won
2016-2017,Round of 16,Wed,2017-03-08,20:45,Barcelonaes,6–1,frParis S-G,"96,290",Camp Nou,Deniz Aytekin,Match Report,Leg 2 of 2; Barcelona won
2016-2017,Round of 16,Tue,2017-03-14,19:45,Leicester Cityeng,2–0,esSevilla,"31,520",King Power Stadium,Daniele Orsato,Match Report,Leg 2 of 2; Leicester City won
2016-2017,Round of 16,Tue,2017-03-14,20:45,Juventusit,1–0,ptPorto,"41,161",Allianz Stadium,Ovidiu Hațegan,Match Report,Leg 2 of 2; Juventus won
2016-2017,Round of 16,Wed,2017-03-15,20:45,Atlético Madrides,0–0,deLeverkusen,"49,133",Estadio Vicente Calderón,Sergey Karasev,Match Report,Leg 2 of 2; Atlético Madrid won
2016-2017,Round of 16,Wed,2017-03-15,20:45,Monacofr,3–1,engManchester City,"15,700",Stade Louis II.,Gianluca Rocchi,Match Report,Leg 2 of 2; Monaco won
2016-2017,,,,,,,,,,,,
2016-2017,Quarter-finals,Tue,2017-04-11,20:45,Juventusit,3–0,esBarcelona,"41,092",Allianz Stadium,Szymon Marciniak,Match Report,Leg 1 of 2
2016-2017,Quarter-finals,Wed,2017-04-12,18:45,Dortmundde,2–3,frMonaco,"65,849",Signal Iduna Park,Daniele Orsato,Match Report,Leg 1 of 2
2016-2017,Quarter-finals,Wed,2017-04-12,20:45,Atlético Madrides,1–0,engLeicester City,"51,423",Estadio Vicente Calderón,Jonas Eriksson,Match Report,Leg 1 of 2
2016-2017,Quarter-finals,Wed,2017-04-12,20:45,Bayern Munichde,1–2,esReal Madrid,"70,000",Allianz Arena,Nicola Rizzoli,Match Report,Leg 1 of 2
2016-2017,Quarter-finals,Tue,2017-04-18,19:45,Leicester Cityeng,1–1,esAtlético Madrid,"31,548",King Power Stadium,Gianluca Rocchi,Match Report,Leg 2 of 2; Atlético Madrid won
2016-2017,Quarter-finals,Tue,2017-04-18,20:45,Real Madrides,4–2,deBayern Munich,"78,346",Estadio Santiago Bernabéu,Viktor Kassai,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2016-2017,Quarter-finals,Wed,2017-04-19,20:45,Monacofr,3–1,deDortmund,"17,135",Stade Louis II.,Damir Skomina,Match Report,Leg 2 of 2; Monaco won
2016-2017,Quarter-finals,Wed,2017-04-19,20:45,Barcelonaes,0–0,itJuventus,"96,290",Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won
2016-2017,,,,,,,,,,,,
2016-2017,Semi-finals,Tue,2017-05-02,20:45,Real Madrides,3–0,esAtlético Madrid,"77,609",Estadio Santiago Bernabéu,Martin Atkinson,Match Report,Leg 1 of 2
2016-2017,Semi-finals,Wed,2017-05-03,20:45,Monacofr,0–2,itJuventus,"16,762",Stade Louis II.,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2016-2017,Semi-finals,Tue,2017-05-09,20:45,Juventusit,2–1,frMonaco,"40,244",Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won
2016-2017,Semi-finals,Wed,2017-05-10,20:45,Atlético Madrides,2–1,esReal Madrid,"53,422",Estadio Vicente Calderón,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
2016-2017,,,,,,,,,,,,
2016-2017,Final,Sat,2017-06-03,19:45,Juventusit,1–4,esReal Madrid,"65,842",National Stadium (Neutral Site),Felix Brych,Match Report,
2017-2018,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2017-2018,Round of 16,Tue,2018-02-13,20:45,Juventusit,2–2,engTottenham,"41,232",Allianz Stadium,Felix Brych,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-02-13,20:45,Baselch,0–4,engManchester City,"36,000",St. Jakob-Park,Jonas Eriksson,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-14,19:45,Portopt,0–5,engLiverpool,"47,718",Estádio Do Dragão,Daniele Orsato,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-14,20:45,Real Madrides,3–1,frParis S-G,"78,158",Estadio Ramón Sánchez Pizjuán,Gianluca Rocchi,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-02-20,19:45,Chelseaeng,1–1,esBarcelona,"37,741",Stamford Bridge,Cüneyt Çakιr,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-02-20,20:45,Bayern Munichde,5–0,trBeşiktaş,"70,000",Allianz Arena,Ovidiu Hațegan,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-21,20:45,Sevillaes,0–0,engManchester Utd,"39,725",Estadio Ramón Sánchez Pizjuán,Clément Turpin,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-21,21:45,Shakhtarua,2–1,itRoma,"35,124",Oblasny SportKomplex Metalist,William Collum,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-03-06,19:45,Liverpooleng,0–0,ptPorto,"48,768",Anfield,Felix Zwayer,Match Report,Leg 2 of 2; Liverpool won
2017-2018,Round of 16,Tue,2018-03-06,20:45,Paris S-Gfr,1–2,esReal Madrid,"46,585",Parc des Princes,Felix Brych,Match Report,Leg 2 of 2; Real Madrid won
2017-2018,Round of 16,Wed,2018-03-07,19:45,Manchester Cityeng,1–2,chBasel,"49,411",Etihad Stadium,Pavel Královec,Match Report,Leg 2 of 2; Manchester City won
2017-2018,Round of 16,Wed,2018-03-07,19:45,Tottenhameng,1–2,itJuventus,"84,010",Wembley Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Juventus won
2017-2018,Round of 16,Tue,2018-03-13,19:45,Manchester Utdeng,1–2,esSevilla,"74,909",Old Trafford,Danny Makkelie,Match Report,Leg 2 of 2; Sevilla won
2017-2018,Round of 16,Tue,2018-03-13,20:45,Romait,1–0,uaShakhtar,"47,693",Stadio Olimpico,Alberto Undiano,Match Report,Leg 2 of 2; Roma won
2017-2018,Round of 16,Wed,2018-03-14,20:00,Beşiktaştr,1–3,deBayern Munich,"36,885",Vodafone Arena,Michael Oliver,Match Report,Leg 2 of 2; Bayern Munich won
2017-2018,Round of 16,Wed,2018-03-14,20:45,Barcelonaes,3–0,engChelsea,"97,183",Camp Nou,Damir Skomina,Match Report,Leg 2 of 2; Barcelona won
2017-2018,,,,,,,,,,,,
2017-2018,Quarter-finals,Tue,2018-04-03,20:45,Sevillaes,1–2,deBayern Munich,"40,635",Estadio Ramón Sánchez Pizjuán,Daniele Orsato,Match Report,Leg 1 of 2
2017-2018,Quarter-finals,Tue,2018-04-03,20:45,Juventusit,0–3,esReal Madrid,"40,849",Allianz Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2017-2018,Quarter-finals,Wed,2018-04-04,19:45,Liverpooleng,3–0,engManchester City,"50,685",Anfield,Felix Brych,Match Report,Leg 1 of 2
2017-2018,Quarter-finals,Wed,2018-04-04,20:45,Barcelonaes,4–1,itRoma,"90,106",Camp Nou,Danny Makkelie,Match Report,Leg 1 of 2
2017-2018,Quarter-finals,Tue,2018-04-10,19:45,Manchester Cityeng,1–2,engLiverpool,"53,461",Etihad Stadium,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Liverpool won
2017-2018,Quarter-finals,Tue,2018-04-10,20:45,Romait,3–0,esBarcelona,"56,580",Stadio Olimpico,Clément Turpin,Match Report,Leg 2 of 2; Roma won
2017-2018,Quarter-finals,Wed,2018-04-11,20:45,Bayern Munichde,0–0,esSevilla,"70,000",Allianz Arena,William Collum,Match Report,Leg 2 of 2; Bayern Munich won
2017-2018,Quarter-finals,Wed,2018-04-11,20:45,Real Madrides,1–3,itJuventus,"75,796",Estadio Santiago Bernabéu,Michael Oliver,Match Report,Leg 2 of 2; Real Madrid won
2017-2018,,,,,,,,,,,,
2017-2018,Semi-finals,Tue,2018-04-24,19:45,Liverpooleng,5–2,itRoma,"51,236",Anfield,Felix Brych,Match Report,Leg 1 of 2
2017-2018,Semi-finals,Wed,2018-04-25,20:45,Bayern Munichde,1–2,esReal Madrid,"70,000",Allianz Arena,Björn Kuipers,Match Report,Leg 1 of 2
2017-2018,Semi-finals,Tue,2018-05-01,20:45,Real Madrides,2–2,deBayern Munich,"77,459",Estadio Santiago Bernabéu,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
2017-2018,Semi-finals,Wed,2018-05-02,20:45,Romait,4–2,engLiverpool,"61,889",Stadio Olimpico,Damir Skomina,Match Report,Leg 2 of 2; Liverpool won
2017-2018,,,,,,,,,,,,
2017-2018,Final,Sat,2018-05-26,21:45,Real Madrides,3–1,engLiverpool,"61,561",NSK Olimpijs'kyj (Neutral Site),Milorad Mažić,Match Report,
2018-2019,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2018-2019,Round of 16,Tue,2019-02-12,20:00,Manchester Utdeng,0–2,frParis S-G,"74,054",Old Trafford,Daniele Orsato,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-02-12,21:00,Romait,2–1,ptPorto,"51,727",Stadio Olimpico,Jochem Kamphuis,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-13,20:00,Tottenhameng,3–0,deDortmund,"71,214",Wembley Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-13,21:00,Ajaxnl,1–2,esReal Madrid,"52,286",Johan Cruyff ArenA,Szymon Marciniak,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-02-19,20:00,Liverpooleng,0–0,deBayern Munich,"52,250",Anfield,Gianluca Rocchi,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-02-19,21:00,Lyonfr,0–0,esBarcelona,"57,889",Groupama Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-20,21:00,Schalke 04de,2–3,engManchester City,"54,417",Veltins-Arena,Alejandro Hernández,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-20,21:00,Atlético Madrides,2–0,itJuventus,"67,193",Estadio Wanda Metropolitano,Felix Zwayer,Match Report,Leg 1 of 2
