Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Goalkeeper,Scorer,Goals
2016-2017,GR,ruRostov,6,1,2,3,6,12,-6,5,Soslan Dzhanayev,Dmitry Poloz,3
2016-2017,GR,deM'Gladbach,6,1,2,3,5,12,-7,5,Yann Sommer,Lars Stindl,2
2016-2017,GR,plLegia Warsaw,6,1,1,4,9,24,-15,4,Arkadiusz Malarz,Aleksandar Prijovi,2
2016-2017,GR,ptSporting CP,6,1,0,5,5,8,-3,3,Rui Patrício,Bruno C,2
2016-2017,GR,ruCSKA Moscow,6,0,3,3,5,11,-6,3,Igor Akinfeev,Alan Dzagoev,2
2016-2017,GR,bgLudogorets,6,0,3,3,6,15,-9,3,Vladislav Stoyanov,Jonathan Cafu,2
2016-2017,GR,sctCeltic,6,0,3,3,5,16,-11,3,Craig Gordon,Moussa Demb,3
2016-2017,GR,nlPSV Eindhoven,6,0,2,4,4,11,-7,2,Jeroen Zoet,Davy Pr,1
2016-2017,GR,chBasel,6,0,2,4,3,12,-9,2,Tomáš Vaclík,Seydou Doumbia,1
2016-2017,GR,beClub Brugge,6,0,0,6,2,14,-12,0,Ludovic Butelle,Jelle Vossen,1
2016-2017,GR,hrDinamo Zagreb,6,0,0,6,0,15,-15,0,Dominik Livaković,Desconocido,0
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2015-2016,W,esReal Madrid,13,9,3,1,28,6,+22,30,Keylor Navas,Cristiano Ronaldo,16
2015-2016,F,esAtlético Madrid,13,6,4,3,17,8,+9,22,Jan Oblak,Antoine Griezmann,7
2015-2016,SF,deBayern Munich,12,8,2,2,30,11,+19,26,Manuel Neuer,Robert Lewandowski,9
2015-2016,SF,engManchester City,12,6,3,3,18,12,+6,21,Joe Hart,Kevin De Bruyne,3
2015-2016,QF,esBarcelona,10,7,2,1,22,8,+14,23,Marc-André ter Stegen,Luis Su,8
2015-2016,QF,deWolfsburg,10,7,0,3,15,11,+4,21,Diego Benaglio,Julian Draxler,3
2015-2016,QF,frParis S-G,10,6,2,2,18,6,+12,20,Kevin Trapp,Zlatan Ibrahimovi,5
2015-2016,QF,ptBenfica,10,5,2,3,15,12,+3,17,Júlio César,Nicol,4
2015-2016,R16,ruZenit,8,5,0,3,14,9,+5,15,Yuri Lodygin,Artem Dzyuba,6
2015-2016,R16,engChelsea,8,4,1,3,15,7,+8,13,Asmir Begović,Willian,5
2015-2016,R16,uaDynamo Kyiv,8,3,3,2,9,7,+2,12,Oleksandr Shovkovskiy,Andriy Yarmolenko,2
2015-2016,R16,itJuventus,8,3,3,2,10,9,+1,12,Gianluigi Buffon,lvaro Morata,2
2015-2016,R16,nlPSV Eindhoven,8,3,3,2,8,7,+1,12,Jeroen Zoet,Luuk de Jong,2
2015-2016,R16,beGent,8,3,1,4,10,11,-1,10,Matz Sels,Danijel Mili,3
2015-2016,R16,engArsenal,8,3,0,5,13,15,-2,9,Petr Čech,Olivier Giroud,5
2015-2016,R16,itRoma,8,1,3,4,11,20,-9,6,Wojciech Szczęsny,Miralem Pjani,2
2015-2016,GR,byBATE Borisov,12,4,4,4,11,16,-5,16,Sergei Chernik,Filip Mladenovi,2
2015-2016,GR,kzFC Astana,12,3,6,3,14,17,-3,15,Nenad Erić,Patrick Twumasi,2
2015-2016,GR,hrDinamo Zagreb,12,4,3,5,17,21,-4,15,Eduardo Carvalho,Junior Fern,1
2015-2016,GR,engManchester Utd,8,4,2,2,14,8,+6,14,David de Gea,Anthony Martial,2
2015-2016,GR,seMalmö,12,4,1,7,9,26,-17,13,Johan Wiland,Markus Rosenberg,1
2015-2016,GR,ruCSKA Moscow,10,3,2,5,14,16,-2,11,Igor Akinfeev,Seydou Doumbia,3
2015-2016,GR,uaShakhtar,10,3,2,5,13,16,-3,11,Andriy Pyatov,Alex Teixeira,3
2015-2016,GR,ptPorto,6,3,1,2,9,8,+1,10,Iker Casillas,Vincent Aboubakar,3
2015-2016,GR,deLeverkusen,8,2,3,3,16,13,+3,9,Bernd Leno,Javier Hern,5
2015-2016,GR,esValencia,8,3,0,5,9,12,-3,9,Jaume Doménech,Jo,1
2015-2016,GR,grOlympiacos,6,3,0,3,6,13,-7,9,Roberto,Felipe Pardo,3
2015-2016,GR,ilMaccabi Tel Aviv,12,2,2,8,13,24,-11,8,Predrag Rajković,Eran Zahavi,1
2015-2016,GR,esSevilla,6,2,0,4,8,11,-3,6,Sergio Rico,Yevhen Konoplyanka,2
2015-2016,GR,deM'Gladbach,6,1,2,3,8,12,-4,5,Yann Sommer,Lars Stindl,3
2015-2016,GR,trGalatasaray,6,1,2,3,6,10,-4,5,Fernando Muslera,Lukas Podolski,2
2015-2016,GR,frLyon,6,1,1,4,5,9,-4,4,Anthony Lopes,Alexandre Lacazette,2
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2014-2015,W,esBarcelona,13,11,0,2,31,11,+20,33,Marc-André ter Stegen,Lionel Messi,10
2014-2015,F,itJuventus,13,7,3,3,17,10,+7,24,Gianluigi Buffon,Carlos Tevez,7
2014-2015,SF,esReal Madrid,12,8,2,2,24,9,+15,26,Iker Casillas,Cristiano Ronaldo,10
2014-2015,SF,deBayern Munich,12,8,1,3,33,13,+20,25,Manuel Neuer,Thomas M,7
2014-2015,QF,ptPorto,12,8,3,1,28,12,+16,27,Fabiano,Jackson Mart,7
2014-2015,QF,esAtlético Madrid,10,5,2,3,15,5,+10,17,Miguel Ángel Moyá,Mario Mand,5
2014-2015,QF,frMonaco,10,4,3,3,7,5,+2,15,Danijel Subašić,Aymen Abdennour,1
2014-2015,QF,frParis S-G,10,4,3,3,14,15,-1,15,Salvatore Sirigu,Edinson Cavani,6
2014-2015,R16,engArsenal,10,6,2,2,19,11,+8,20,Wojciech Szczęsny,Danny Welbeck,3
2014-2015,R16,deLeverkusen,10,6,1,3,15,7,+8,19,Bernd Leno,Son Heung,3
2014-2015,R16,engChelsea,8,4,4,0,20,6,+14,16,Thibaut Courtois,Eden Hazard,3
2014-2015,R16,deDortmund,8,4,1,3,15,9,+6,13,Roman Weidenfeller,Ciro Immobile,4
2014-2015,R16,deSchalke 04,8,3,2,3,13,19,-6,11,Ralf Fährmann,Klaas,5
2014-2015,R16,uaShakhtar,8,2,4,2,15,11,+4,10,Andriy Pyatov,Luiz Adriano,9
2014-2015,R16,engManchester City,8,2,2,4,10,11,-1,8,Joe Hart,Sergio Ag,6
2014-2015,R16,chBasel,8,2,2,4,8,13,-5,8,Tomáš Vaclík,Derlis Gonz,3
2014-2015,GR,ruZenit,10,5,1,4,11,7,+4,16,Yuri Lodygin,Danny,1
2014-2015,GR,siNK Maribor,12,3,6,3,11,16,-5,15,Jasmin Handanović,Damjan Bohar,1
2014-2015,GR,bgLudogorets,12,3,4,5,13,18,-5,13,Vladislav Stoyanov,Dani Abalo,2
2014-2015,GR,seMalmö,12,4,1,7,13,21,-8,13,Robin Olsen,Markus Rosenberg,3
2014-2015,GR,byBATE Borisov,12,3,3,6,10,28,-18,12,Sergei Chernik,Alyaksandr Karnitsky,1
2014-2015,GR,esAthletic Club,8,3,2,3,9,8,+1,11,Gorka Iraizoz,Mikel San Jos,2
2014-2015,GR,grOlympiacos,6,3,0,3,10,13,-3,9,Roberto,Ibrahim Afellay,2
2014-2015,GR,cyAPOEL FC,10,2,3,5,10,15,-5,9,Urko Pardo,Gustavo Manduca,1
2014-2015,GR,ptSporting CP,6,2,1,3,12,12,0,7,Rui Patrício,Nani,4
2014-2015,GR,beAnderlecht,6,1,3,2,8,10,-2,6,Silvio Proto,Aleksandar Mitrovi,2
2014-2015,GR,nlAjax,6,1,2,3,8,10,-2,5,Jasper Cillessen,Lasse Sch,3
2014-2015,GR,engLiverpool,6,1,2,3,5,9,-4,5,Simon Mignolet,Steven Gerrard,2
2014-2015,GR,ptBenfica,6,1,2,3,2,6,-4,5,Júlio César,Eduardo Salvio,1
2014-2015,GR,itRoma,6,1,2,3,8,14,-6,5,Morgan De Sanctis,Gervinho,3
2014-2015,GR,ruCSKA Moscow,6,1,2,3,6,13,-7,5,Igor Akinfeev,Seydou Doumbia,3
2014-2015,GR,trGalatasaray,6,0,1,5,4,19,-15,1,Fernando Muslera,Burak Y,2
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2013-2014,W,esReal Madrid,13,10,2,1,41,10,+31,32,Iker Casillas,Cristiano Ronaldo,17
2013-2014,F,esAtlético Madrid,13,7,5,1,26,10,+16,26,Thibaut Courtois,Diego Costa,8
2013-2014,SF,deBayern Munich,12,6,4,2,24,13,+11,22,Manuel Neuer,Thomas M,5
2013-2014,SF,engChelsea,12,4,5,3,19,10,+9,17,Petr Čech,Fernando Torres,4
2013-2014,QF,frParis S-G,10,6,2,2,25,9,+16,20,Salvatore Sirigu,Zlatan Ibrahimovi,10
2013-2014,QF,esBarcelona,10,5,3,2,21,8,+13,18,Víctor Valdés,Lionel Messi,8
2013-2014,QF,engManchester Utd,10,5,3,2,17,9,+8,18,David de Gea,Robin van Persie,4
2013-2014,QF,deDortmund,10,5,2,3,18,13,+5,17,Roman Weidenfeller,Robert Lewandowski,6
2013-2014,R16,ruZenit,12,4,5,3,23,17,+6,17,Yuri Lodygin,Hulk,4
2013-2014,R16,engArsenal,10,5,2,3,14,8,+6,17,Wojciech Szczęsny,Olivier Giroud,2
2013-2014,R16,engManchester City,8,5,0,3,19,14,+5,15,Joe Hart,Sergio Ag,6
2013-2014,R16,deSchalke 04,10,4,2,4,12,18,-6,14,"Ralf Fährmann,Timo Hildebrand",Julian Draxler,3
2013-2014,R16,grOlympiacos,8,4,1,3,12,11,+1,13,Roberto,Kostas Mitroglou,3
2013-2014,R16,itMilan,10,2,5,3,13,11,+2,11,Christian Abbiati,Kak,2
2013-2014,R16,deLeverkusen,8,3,1,4,10,16,-6,10,Bernd Leno,Simon Rolfes,3
2013-2014,R16,trGalatasaray,8,2,2,4,9,17,-8,8,Fernando Muslera,Umut Bulut,3
2013-2014,GR,czViktoria Plzeň,12,6,1,5,26,24,+2,19,Matúš Kozáčik,Daniel Kol,1
2013-2014,GR,chBasel,10,4,4,2,15,11,+4,16,Yann Sommer,Mohamed Salah,2
2013-2014,GR,roSteaua,12,3,6,3,13,15,-2,15,Ciprian Tătărușanu,Federico Piovaccari,1
2013-2014,GR,atAustria Wien,10,3,4,3,10,13,-3,13,Heinz Lindner,Roman Kienast,2
2013-2014,GR,itNapoli,6,4,0,2,10,9,+1,12,Pepe Reina,Gonzalo Higua,4
2013-2014,GR,sctCeltic,12,3,3,6,12,16,-4,12,Fraser Forster,Beram Kayal,1
2013-2014,GR,ptBenfica,6,3,1,2,8,8,0,10,Artur Moraes,Filip,1
2013-2014,GR,uaShakhtar,6,2,2,2,7,6,+1,8,Andriy Pyatov,Alex Teixeira,3
2013-2014,GR,nlAjax,6,2,2,2,5,8,-3,8,Jasper Cillessen,Lasse Sch,2
2013-2014,GR,itJuventus,6,1,3,2,9,9,0,6,Gianluigi Buffon,Arturo Vidal,5
2013-2014,GR,ptPorto,6,1,2,3,4,7,-3,5,Helton Arruda,Lucho Gonz,2
2013-2014,GR,esReal Sociedad,8,1,2,5,5,10,-5,5,Claudio Bravo,Carlos Vela,1
2013-2014,GR,dkFC Copenhagen,6,1,1,4,4,13,-9,4,Johan Wiland,Nicolai J,1
2013-2014,GR,ruCSKA Moscow,6,1,0,5,8,17,-9,3,Igor Akinfeev,Keisuke Honda,2
2013-2014,GR,beAnderlecht,6,0,1,5,4,17,-13,1,"Thomas Kaminski,Silvio Proto",Massimo Bruno,1
2013-2014,GR,frMarseille,6,0,0,6,5,14,-9,0,Steve Mandanda,Andr,2
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2012-2013,W,deBayern Munich,13,10,2,1,31,11,+20,32,Manuel Neuer,Thomas M,8
2012-2013,F,deDortmund,13,5,6,2,24,14,+10,21,Roman Weidenfeller,Robert Lewandowski,10
2012-2013,SF,esReal Madrid,12,5,4,3,26,18,+8,19,Diego López,Cristiano Ronaldo,12
2012-2013,SF,esBarcelona,12,4,5,3,18,17,+1,17,Víctor Valdés,Lionel Messi,8
2012-2013,QF,frParis S-G,10,6,3,1,20,8,+12,21,Salvatore Sirigu,Ezequiel Lavezzi,5
2012-2013,QF,esMálaga,12,4,6,2,18,9,+9,18,Willy Caballero,Eliseu,4
2012-2013,QF,itJuventus,10,4,5,1,17,8,+9,17,Gianluigi Buffon,Fabio Quagliarella,4
2012-2013,QF,trGalatasaray,10,4,3,3,14,14,0,15,Fernando Muslera,Burak Y,8
2012-2013,R16,sctCeltic,12,6,2,4,17,14,+3,20,Fraser Forster,Georgios Samaras,3
2012-2013,R16,ptPorto,8,5,1,2,11,6,+5,16,Helton Arruda,Jackson Mart,3
2012-2013,R16,esValencia,8,4,2,2,14,8,+6,14,Vicente Guaita,Jonas,5
2012-2013,R16,deSchalke 04,8,3,5,0,13,10,+3,14,Lars Unnerstall,Klaas,4
2012-2013,R16,engManchester Utd,8,4,2,2,11,9,+2,14,David de Gea,Javier Hern,3
2012-2013,R16,engArsenal,8,4,1,3,13,11,+2,13,Vito Mannone,Lukas Podolski,4
2012-2013,R16,uaShakhtar,8,3,2,3,14,13,+1,11,Andriy Pyatov,Willian,4
2012-2013,R16,itMilan,8,3,2,3,9,10,-1,11,Christian Abbiati,Stephan El Shaarawy,2
2012-2013,GR,roCFR Cluj,10,6,2,2,15,9,+6,20,Mário Felgueiras,Rui Pedro,3
2012-2013,GR,byBATE Borisov,12,5,3,4,18,19,-1,18,Andrey Harbunow,Vitali Rodionov,2
2012-2013,GR,uaDynamo Kyiv,10,4,3,3,13,14,-1,15,Maksym Koval,Oleh Husyev,2
2012-2013,GR,hrDinamo Zagreb,12,3,4,5,13,18,-5,13,Ivan Kelava,Ivan Krstanovi,1
2012-2013,GR,beAnderlecht,10,3,3,4,18,11,+7,12,Silvio Proto,Dieumerci Mbokani,2
2012-2013,GR,engChelsea,6,3,1,2,16,10,+6,10,Petr Čech,Oscar,5
2012-2013,GR,grOlympiacos,6,3,0,3,9,9,0,9,Roy Carroll,Kostas Mitroglou,4
2012-2013,GR,ptBenfica,6,2,2,2,5,5,0,8,Artur Moraes,scar Cardozo,2
2012-2013,GR,ruZenit,6,2,1,3,6,9,-3,7,Vyacheslav Malafeev,Danny,2
2012-2013,GR,ruSpartak Moscow,8,2,1,5,10,16,-6,7,"Andriy Dykan,Sergei Pesyakov...",Emmanuel Emenike,2
2012-2013,GR,ptBraga,8,1,2,5,9,15,-6,5,Beto,Alan,5
2012-2013,GR,nlAjax,6,1,1,4,8,16,-8,4,Kenneth Vermeer,Siem de Jong,3
2012-2013,GR,frLille,8,1,1,6,6,14,-8,4,Mickaël Landreau,Salomon Kalou,1
2012-2013,GR,engManchester City,6,0,3,3,7,11,-4,3,Joe Hart,Sergio Ag,2
2012-2013,GR,frMontpellier,6,0,2,4,6,12,-6,2,Geoffrey Jourdren,Youn,2
2012-2013,GR,dkNordsjælland,6,0,1,5,4,22,-18,1,Jesper Hansen,Joshua John,1
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2011-2012,W,engChelsea,13,5,6,2,25,12,+13,21,Petr Čech,Didier Drogba,6
2011-2012,F,deBayern Munich,15,8,4,3,29,11,+18,28,Manuel Neuer,Mario G,12
2011-2012,SF,esReal Madrid,12,7,4,1,35,9,+26,25,Iker Casillas,Cristiano Ronaldo,10
2011-2012,SF,esBarcelona,12,6,5,1,35,10,+25,23,Víctor Valdés,Lionel Messi,14
2011-2012,QF,ptBenfica,14,4,7,3,21,14,+7,19,Artur Moraes,scar Cardozo,4
2011-2012,QF,cyAPOEL FC,16,4,7,5,20,17,+3,19,Dionisis Chiotis,Gustavo Manduca,4
2011-2012,QF,itMilan,10,3,4,3,16,14,+2,13,Christian Abbiati,Zlatan Ibrahimovi,5
2011-2012,QF,frMarseille,10,4,1,5,9,10,-1,13,Steve Mandanda,Andr,4
2011-2012,R16,engArsenal,10,5,3,2,13,11,+2,18,Wojciech Szczęsny,Robin van Persie,4
2011-2012,R16,frLyon,10,4,3,3,14,10,+4,15,Hugo Lloris,Baf,5
2011-2012,R16,itNapoli,8,4,2,2,14,11,+3,14,Morgan De Sanctis,Edinson Cavani,5
2011-2012,R16,chBasel,8,4,2,2,12,17,-5,14,Yann Sommer,Alexander Frei,5
2011-2012,R16,ruZenit,8,3,3,2,10,9,+1,12,Vyacheslav Malafeev,Roman Shirokov,5
2011-2012,R16,itInter,8,3,2,3,10,9,+1,11,Júlio César,Giampaolo Pazzini,3
2011-2012,R16,deLeverkusen,8,3,1,4,10,18,-8,10,Bernd Leno,Eren Derdiyok,2
2011-2012,R16,ruCSKA Moscow,8,2,3,3,11,13,-2,9,Vladimir Gabulov,Seydou Doumbia,5
2011-2012,GR,czViktoria Plzeň,12,4,5,3,22,16,+6,17,Marek Čech,Marek Bako,2
2011-2012,GR,hrDinamo Zagreb,12,3,2,7,13,26,-13,11,Ivan Kelava,Fatos Be,1
2011-2012,GR,engManchester City,6,3,1,2,9,6,+3,10,Joe Hart,Yaya Tour,3
2011-2012,GR,byBATE Borisov,12,1,7,4,11,17,-6,10,Alyaksandr Hutar,Renan Bardini Bressan,2
2011-2012,GR,engManchester Utd,6,2,3,1,11,8,+3,9,David de Gea,Wayne Rooney,2
2011-2012,GR,grOlympiacos,6,3,0,3,8,6,+2,9,"Franco Costanzo,Balázs Megyeri",David Fuster,2
2011-2012,GR,esValencia,6,2,2,2,12,7,+5,8,Diego Alves,Roberto Soldado,5
2011-2012,GR,ptPorto,6,2,2,2,7,7,0,8,Helton Arruda,Hulk,4
2011-2012,GR,nlAjax,6,2,2,2,6,6,0,8,Kenneth Vermeer,Christian Eriksen,1
2011-2012,GR,trTrabzonspor,8,1,5,2,4,8,-4,8,Tolga Zengin,Halil Alt,1
2011-2012,GR,beGenk,10,1,5,4,8,21,-13,8,László Köteles,Jelle Vossen,2
2011-2012,GR,frLille,6,1,3,2,6,6,0,6,Mickaël Landreau,Moussa Sow,3
2011-2012,GR,uaShakhtar,6,1,2,3,6,8,-2,5,Oleksandr Rybka,Luiz Adriano,3
2011-2012,GR,deDortmund,6,1,1,4,6,12,-6,4,Roman Weidenfeller,Jakub B,1
2011-2012,GR,esVillarreal,8,0,1,7,5,15,-10,1,Diego López,Cani,1
2011-2012,GR,roOțelul Galați,6,0,0,6,3,11,-8,0,Branko Grahovac,Liviu Antal,1
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2010-2011,W,esBarcelona,13,8,4,1,30,9,+21,28,Víctor Valdés,Lionel Messi,12
2010-2011,F,engManchester Utd,13,6,6,1,19,7,+12,24,Edwin van der Sar,Javier Hern,4
2010-2011,SF,esReal Madrid,12,7,4,1,25,6,+19,25,Iker Casillas,Karim Benzema,6
2010-2011,SF,deSchalke 04,12,5,4,3,22,14,+8,19,Manuel Neuer,Ra,5
2010-2011,QF,uaShakhtar,10,6,2,2,19,14,+5,20,Andriy Pyatov,Eduardo da Silva,4
2010-2011,QF,engChelsea,10,6,1,3,17,7,+10,19,Petr Čech,Nicolas Anelka,7
2010-2011,QF,engTottenham,12,4,5,3,25,19,+6,17,Heurelho Gomes,Gareth Bale,4
2010-2011,QF,itInter,10,4,1,5,18,21,-3,13,Júlio César,Samuel Eto,8
2010-2011,R16,deBayern Munich,8,6,1,1,19,9,+10,19,"Hans-Jörg Butt,Thomas Kraft",Mario G,8
2010-2011,R16,engArsenal,8,5,0,3,21,11,+10,15,Łukasz Fabiański,Cesc F,3
2010-2011,R16,dkFC Copenhagen,12,3,5,4,12,11,+1,14,Johan Wiland,Dame N,2
2010-2011,R16,frMarseille,8,4,1,3,13,5,+8,13,Steve Mandanda,Andr,3
2010-2011,R16,esValencia,8,3,3,2,17,8,+9,12,César Sánchez,Roberto Soldado,6
2010-2011,R16,frLyon,8,3,2,3,12,14,-2,11,Hugo Lloris,Michel Bastos,3
2010-2011,R16,itRoma,8,3,1,4,12,17,-5,10,Júlio Sérgio,Marco Borriello,4
2010-2011,R16,itMilan,8,2,3,3,7,8,-1,9,Christian Abbiati,Zlatan Ibrahimovi,4
2010-2011,GR,ptBraga,10,6,0,4,14,16,-2,18,Felipe,Matheus Leite Nascimento,3
2010-2011,GR,ilHapoel Tel Aviv,12,4,4,4,20,15,+5,16,Vincent Enyeama,Eran Zahavi,3
2010-2011,GR,chBasel,10,5,1,4,17,12,+5,16,Franco Costanzo,Alexander Frei,3
2010-2011,GR,rsPartizan,12,4,2,6,15,19,-4,14,Vladimir Stojković,Cl,2
2010-2011,GR,nlAjax,10,2,5,3,13,16,-3,11,Maarten Stekelenburg,Toby Alderweireld,2
2010-2011,GR,ruSpartak Moscow,6,3,0,3,7,10,-3,9,Andriy Dykan,Ari,2
2010-2011,GR,deWerder Bremen,8,2,2,4,11,16,-5,8,Tim Wiese,Marko Arnautovi,2
2010-2011,GR,skMŠK Žilina,12,1,4,7,13,22,-9,7,Martin Dúbravka,Bello Babatounde,1
2010-2011,GR,nlTwente,6,1,3,2,9,11,-2,6,Nikolay Mihaylov,Nacer Chadli,3
2010-2011,GR,ruRubin Kazan,6,1,3,2,2,4,-2,6,Sergey Ryzhikov,Christian Noboa,2
2010-2011,GR,sctRangers,6,1,3,2,3,6,-3,6,Allan McGregor,Maurice Edu,1
2010-2011,GR,ptBenfica,6,2,0,4,7,12,-5,6,Roberto,F,2
2010-2011,GR,roCFR Cluj,6,1,1,4,6,12,-6,4,"Nuno Claro,Eduard Stăncioiu",Ionu,2
2010-2011,GR,frAuxerre,8,1,1,6,5,13,-8,4,Olivier Sorin,Valter Birsa,1
2010-2011,GR,grPanathinaikos,6,0,2,4,2,13,-11,2,Alexandros Tzorvas,C,1
2010-2011,GR,trBursaspor,6,0,1,5,2,16,-14,1,Dimitar Ivankov,Pablo Batalla,1
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2009-2010,W,itInter,13,8,3,2,17,9,+8,27,Júlio César,Diego Milito,6
2009-2010,F,deBayern Munich,13,7,1,5,21,15,+6,22,Hans-Jörg Butt,Ivica Oli,7
2009-2010,SF,frLyon,14,8,3,3,25,12,+13,27,Hugo Lloris,Miralem Pjani,4
2009-2010,SF,esBarcelona,12,3,7,2,20,10,+10,16,Víctor Valdés,Lionel Messi,8
2009-2010,QF,frBordeaux,10,6,3,1,14,6,+8,21,Cédric Carrasso,Marouane Chamakh,5
2009-2010,QF,engArsenal,12,5,4,3,26,14,+12,19,Manuel Almunia,Nicklas Bendtner,5
2009-2010,QF,engManchester Utd,10,5,3,2,21,12,+9,18,Edwin van der Sar,Wayne Rooney,5
2009-2010,QF,ruCSKA Moscow,10,4,3,3,13,14,-1,15,Igor Akinfeev,Milo,4
2009-2010,R16,itFiorentina,10,5,3,2,21,14,+7,18,Sébastien Frey,Stevan Joveti,4
