Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Goalkeeper,Scorer,Goals
2009-2010,R16,grOlympiacos,12,5,3,4,12,8,+4,18,Antonios Nikopolidis,Kostas Mitroglou,2
2009-2010,R16,esSevilla,8,4,3,1,13,7,+6,15,Andrés Palop,Lu,2
2009-2010,R16,engChelsea,8,4,3,1,12,7,+5,15,Petr Čech,Salomon Kalou,3
2009-2010,R16,ptPorto,8,5,0,3,10,9,+1,15,Helton Arruda,Radamel Falcao,4
2009-2010,R16,esReal Madrid,8,4,2,2,16,9,+7,14,Iker Casillas,Cristiano Ronaldo,7
2009-2010,R16,deStuttgart,10,3,5,2,12,12,0,14,Jens Lehmann,Zdravko Kuzmanovi,2
2009-2010,R16,itMilan,8,2,3,3,10,14,-4,9,Dida,Ronaldinho,3
2009-2010,GR,ilMaccabi Haifa,12,3,3,6,19,12,+7,12,Nir Davidovich,Desconocido,0
2009-2010,GR,cyAPOEL FC,12,2,5,5,14,10,+4,11,Dionisis Chiotis,Nenad Mirosavljevi,2
2009-2010,GR,chZürich,10,3,2,5,15,18,-3,11,Johnny Leoni,Silvan Aegerter,1
2009-2010,GR,huDebrecen,12,3,2,7,14,23,-9,11,Vukašin Poleksić,Adamo Coulibaly,2
2009-2010,GR,roUnirea Urziceni,6,2,2,2,8,8,0,8,Giedrius Arlauskis,Marius Bila,1
2009-2010,GR,itJuventus,6,2,2,2,4,7,-3,8,Gianluigi Buffon,Mauro Camoranesi,1
2009-2010,GR,deWolfsburg,6,2,1,3,9,8,+1,7,Diego Benaglio,Edin D,4
2009-2010,GR,frMarseille,6,2,1,3,10,10,0,7,Steve Mandanda,Lucho Gonz,2
2009-2010,GR,engLiverpool,6,2,1,3,5,7,-2,7,Pepe Reina,Yossi Benayoun,2
2009-2010,GR,esAtlético Madrid,8,1,4,3,8,14,-6,7,Sergio Asenjo,Sergio Ag,2
2009-2010,GR,ruRubin Kazan,6,1,3,2,4,7,-3,6,Sergey Ryzhikov,G,1
2009-2010,GR,uaDynamo Kyiv,6,1,2,3,7,9,-2,5,Oleksandr Shovkovskiy,Taras Mykhalyk,1
2009-2010,GR,beStandard Liège,6,1,2,3,7,9,-2,5,Sinan Bolat,Milan Jovanovi,2
2009-2010,GR,nlAZ Alkmaar,6,0,4,2,4,8,-4,4,Sergio Romero,Jeremain Lens,2
2009-2010,GR,trBeşiktaş,6,1,1,4,3,8,-5,4,Rüştü Reçber,Bob,1
2009-2010,GR,sctRangers,6,0,2,4,4,13,-9,2,Allan McGregor,Madjid Bougherra,1
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2008-2009,W,esBarcelona,15,8,6,2,36,14,+22,30,Víctor Valdés,Lionel Messi,9
2008-2009,F,engManchester Utd,13,6,7,1,18,8,+10,25,Edwin van der Sar,Dimitar Berbatov,4
2008-2009,SF,engArsenal,14,7,3,4,23,11,+12,24,Manuel Almunia,Emmanuel Adebayor,5
2008-2009,SF,engChelsea,12,5,6,1,20,13,+7,21,Petr Čech,Didier Drogba,5
2008-2009,QF,engLiverpool,12,7,4,1,22,12,+10,25,Pepe Reina,Steven Gerrard,7
2008-2009,QF,deBayern Munich,10,6,3,1,25,10,+15,21,Michael Rensing,Miroslav Klose,7
2008-2009,QF,ptPorto,10,4,3,3,13,13,0,15,Helton Arruda,Lisandro L,6
2008-2009,QF,esVillarreal,10,3,5,2,13,13,0,14,Diego López,Joseba Llorente,4
2008-2009,R16,grPanathinaikos,12,6,3,3,16,11,+5,21,Mario Galinović,Vangelis Mantzios,4
2008-2009,R16,esAtlético Madrid,10,4,5,1,15,7,+8,17,Leo Franco,Sergio Ag,3
2008-2009,R16,itJuventus,10,4,5,1,14,7,+7,17,Alex Manninger,Alessandro Del Piero,5
2008-2009,R16,itRoma,8,5,0,3,13,7,+6,15,Doni,Matteo Brighi,3
2008-2009,R16,frLyon,8,3,3,2,17,16,+1,12,Hugo Lloris,Karim Benzema,5
2008-2009,R16,esReal Madrid,8,4,0,4,9,10,-1,12,Iker Casillas,Ra,3
2008-2009,R16,ptSporting CP,8,4,0,4,9,20,-11,12,Rui Patrício,Li,2
2008-2009,R16,itInter,8,2,3,3,8,9,-1,9,Júlio César,Adriano,1
2008-2009,GR,uaDynamo Kyiv,10,5,3,2,16,9,+7,18,Stanislav Bohush,Roman Eremenko,1
2008-2009,GR,cyAnorthosis,12,5,3,4,18,12,+6,18,Arjan Beqaj,Nikolaos Frousos,1
2008-2009,GR,dkAalborg,10,5,3,2,20,15,+5,18,Karim Zaza,Jeppe Curth,2
2008-2009,GR,byBATE Borisov,12,4,5,3,12,12,0,17,Syarhey Vyeramko,Sergey Krivets,1
2008-2009,GR,uaShakhtar,8,5,0,3,16,8,+8,15,Andriy Pyatov,J,4
2008-2009,GR,trFenerbahçe,10,3,3,4,15,14,+1,12,Volkan Demirel,Dani G,2
2008-2009,GR,frMarseille,8,3,1,4,8,8,0,10,Steve Mandanda,Mamadou Niang,3
2008-2009,GR,itFiorentina,8,2,4,2,7,8,-1,10,Sébastien Frey,Alberto Gilardino,4
2008-2009,GR,chBasel,10,2,3,5,9,20,-11,9,Franco Costanzo,David Abraham,1
2008-2009,GR,deWerder Bremen,6,1,4,1,7,9,-2,7,Tim Wiese,Hugo Almeida,2
2008-2009,GR,frBordeaux,6,2,1,3,5,11,-6,7,"Ulrich Ramé,Mathieu Valverde",Yoann Gourcuff,2
2008-2009,GR,sctCeltic,6,1,2,3,4,7,-3,5,Artur Boruc,Shaun Maloney,1
2008-2009,GR,ruZenit,6,1,2,3,4,7,-3,5,Vyacheslav Malafeev,Danny,2
2008-2009,GR,roSteaua,8,1,2,5,6,14,-8,5,Róbinson Zapata,Arthuro,1
2008-2009,GR,roCFR Cluj,6,1,1,4,5,9,-4,4,Eduard Stăncioiu,Yssouf Kon,2
2008-2009,GR,nlPSV Eindhoven,6,1,0,5,5,14,-9,3,Andreas Isaksson,Danny Koevermans,4
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2007-2008,W,engManchester Utd,13,9,5,0,20,6,+14,32,Edwin van der Sar,Cristiano Ronaldo,8
2007-2008,F,engChelsea,13,6,7,1,20,8,+12,25,Petr Čech,Didier Drogba,6
2007-2008,SF,engLiverpool,14,8,3,3,34,12,+22,27,Pepe Reina,Steven Gerrard,6
2007-2008,SF,esBarcelona,12,8,3,1,18,6,+12,27,Víctor Valdés,Lionel Messi,6
2007-2008,QF,engArsenal,12,7,3,2,24,9,+15,24,Manuel Almunia,Cesc F,4
2007-2008,QF,trFenerbahçe,12,7,2,3,18,14,+4,23,Volkan Demirel,Deivid,5
2007-2008,QF,itRoma,10,5,2,3,15,11,+4,17,Doni,Mirko Vu,4
2007-2008,QF,deSchalke 04,10,3,2,5,6,7,-1,11,Manuel Neuer,Kevin Kur,3
2007-2008,R16,esSevilla,10,8,0,2,25,13,+12,24,Andrés Palop,Fr,5
2007-2008,R16,itInter,8,5,0,3,12,7,+5,15,Júlio César,Zlatan Ibrahimovi,5
2007-2008,R16,itMilan,8,4,2,2,12,7,+5,14,Zeljko Kalac,Filippo Inzaghi,4
2007-2008,R16,ptPorto,8,4,2,2,9,8,+1,14,Helton Arruda,Lisandro L,3
2007-2008,R16,grOlympiacos,8,3,3,2,11,10,+1,12,Antonios Nikopolidis,Darko Kova,3
2007-2008,R16,esReal Madrid,8,3,2,3,15,13,+2,11,Iker Casillas,Ra,5
2007-2008,R16,frLyon,8,3,2,3,12,12,0,11,Rémy Vercoutre,Karim Benzema,4
2007-2008,R16,sctCeltic,10,3,2,5,9,12,-3,11,Artur Boruc,Ji,1
2007-2008,GR,noRosenborg,10,6,1,3,21,12,+9,19,Lars Hirschfeld,Yssouf Kon,2
2007-2008,GR,sctRangers,10,5,2,3,11,9,+2,17,Allan McGregor,Charlie Adam,2
2007-2008,GR,trBeşiktaş,10,5,1,4,11,16,-5,16,Hakan Arıkan,Bob,2
2007-2008,GR,uaShakhtar,10,5,0,5,13,14,-1,15,Andriy Pyatov,Cristiano Lucarelli,3
2007-2008,GR,ptBenfica,8,4,1,3,8,7,+1,13,Quim,scar Cardozo,3
2007-2008,GR,czSlavia Prague,10,3,4,3,8,17,-9,13,Martin Vaniak,Zden,2
2007-2008,GR,deWerder Bremen,8,4,0,4,13,16,-3,12,Tim Wiese,Boubacar Sanogo,3
2007-2008,GR,esValencia,8,3,2,3,7,7,0,11,Santiago Cañizares,David Villa,2
2007-2008,GR,roSteaua,10,3,2,5,11,13,-2,11,Róbinson Zapata,Valentin Badea,1
2007-2008,GR,itLazio,8,2,3,3,12,13,-1,9,Marco Ballotta,Goran Pandev,4
2007-2008,GR,ptSporting CP,6,2,1,3,9,8,+1,7,"Rui Patrício,Vladimir Stojković...",Li,4
2007-2008,GR,frMarseille,6,2,1,3,6,9,-3,7,Steve Mandanda,Mamadou Niang,2
2007-2008,GR,nlPSV Eindhoven,6,2,1,3,3,6,-3,7,Heurelho Gomes,Jefferson Farf,1
2007-2008,GR,uaDynamo Kyiv,8,2,0,6,8,19,-11,6,Oleksandr Shovkovskiy,Isma,2
2007-2008,GR,deStuttgart,6,1,0,5,7,15,-8,3,Raphael Schäfer,Mario G,3
2007-2008,GR,ruCSKA Moscow,6,0,1,5,7,14,-7,1,"Igor Akinfeev,Veniamin Mandrykin",V,3
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2006-2007,W,itMilan,15,9,4,3,23,11,+12,31,Dida,Kak,10
2006-2007,F,engLiverpool,15,9,3,4,22,12,+10,30,Pepe Reina,Peter Crouch,6
2006-2007,SF,engManchester Utd,12,8,0,4,23,13,+10,24,Edwin van der Sar,Wayne Rooney,4
2006-2007,SF,engChelsea,12,7,3,2,17,9,+8,24,Petr Čech,Didier Drogba,6
2006-2007,QF,esValencia,12,5,4,3,19,12,+7,19,Santiago Cañizares,Fernando Morientes,6
2006-2007,QF,itRoma,10,5,2,3,13,12,+1,17,Doni,Francesco Totti,4
2006-2007,QF,deBayern Munich,10,4,4,2,16,11,+5,16,Oliver Kahn,Claudio Pizarro,4
2006-2007,QF,nlPSV Eindhoven,10,4,2,4,8,11,-3,14,Heurelho Gomes,Alex,2
2006-2007,R16,engArsenal,10,5,3,2,13,6,+7,18,Jens Lehmann,Emmanuel Ebou,1
2006-2007,R16,frLyon,8,4,3,1,12,5,+7,15,Grégory Coupet,Karim Benzema,2
2006-2007,R16,frLille,10,4,3,3,12,7,+5,15,Tony Sylva,Nicolas Fauvergue,2
2006-2007,R16,esBarcelona,8,4,2,2,14,6,+8,14,Víctor Valdés,Ei,3
2006-2007,R16,esReal Madrid,8,4,2,2,18,12,+6,14,Iker Casillas,Ruud van Nistelrooy,6
2006-2007,R16,ptPorto,8,3,3,2,11,7,+4,12,Helton Arruda,Lucho Gonz,3
2006-2007,R16,itInter,8,3,3,2,7,7,0,12,Júlio César,Julio Ricardo Cruz,3
2006-2007,R16,sctCeltic,8,3,1,4,8,10,-2,10,Artur Boruc,Kenny Miller,3
2006-2007,GR,roSteaua,10,4,3,3,16,14,+2,15,"Carlos Fernandes,Cornel Cernea",Nicolae Dic,4
2006-2007,GR,ruCSKA Moscow,8,4,2,2,9,5,+4,14,Igor Akinfeev,Daniel Carvalho,1
2006-2007,GR,grAEK Athens,8,4,2,2,11,10,+1,14,Stefano Sorrentino,J,2
2006-2007,GR,dkFC Copenhagen,10,4,2,4,12,12,0,14,Jesper Christiansen,Marcus Allb,3
2006-2007,GR,uaDynamo Kyiv,10,3,3,4,18,20,-2,12,Oleksandr Shovkovskiy,Maksim Shatskikh,2
2006-2007,GR,uaShakhtar,8,3,3,2,10,13,-3,12,Bohdan Shust,Ciprian Marica,2
2006-2007,GR,ptBenfica,8,3,2,3,11,9,+2,11,Quim,Fabrizio Miccoli,2
2006-2007,GR,ruSpartak Moscow,10,2,5,3,10,13,-3,11,Wojciech Kowalewski,Maksym Kalynychenko,2
2006-2007,GR,deWerder Bremen,6,3,1,2,7,5,+2,10,Tim Wiese,Torsten Frings,1
2006-2007,GR,bgLevski Sofia,10,3,1,6,9,19,-10,10,Georgi Petkov,Mariyan Ognyanov,1
2006-2007,GR,trGalatasaray,8,2,2,4,13,15,-2,8,Faryd Mondragón,Sa,2
2006-2007,GR,frBordeaux,6,2,1,3,6,7,-1,7,Ulrich Ramé,Julien Faubert,2
2006-2007,GR,ptSporting CP,6,1,2,3,3,6,-3,5,Ricardo,Carlos Bueno,1
2006-2007,GR,deHamburger SV,8,1,2,5,8,16,-8,5,Stefan Wächter,Rafael van der Vaart,3
2006-2007,GR,beAnderlecht,6,0,4,2,7,11,-4,4,Daniel Zítka,Nicol,2
2006-2007,GR,grOlympiacos,6,0,3,3,6,11,-5,3,Antonios Nikopolidis,Nery Castillo,3
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2005-2006,W,esBarcelona,13,9,5,0,24,5,+19,32,Víctor Valdés,Ronaldinho,7
2005-2006,F,engArsenal,13,8,5,1,15,4,+11,29,Jens Lehmann,Thierry Henry,5
2005-2006,SF,esVillarreal,14,5,7,2,12,9,+3,22,Sebastián Viera,Diego Forl,3
2005-2006,SF,itMilan,12,5,5,2,20,10,+10,20,Dida,Andriy Shevchenko,9
2005-2006,QF,itInter,12,7,3,2,17,9,+8,24,"Júlio César,Francesco Toldo",Adriano,5
2005-2006,QF,frLyon,10,7,2,1,19,7,+12,23,Grégory Coupet,Juninho Pernambucano,3
2005-2006,QF,itJuventus,10,6,1,3,16,11,+5,19,Christian Abbiati,David Trezeguet,6
2005-2006,QF,ptBenfica,10,4,3,3,8,7,+1,15,Marcelo Moretto,Fabrizio Miccoli,2
2005-2006,R16,engLiverpool,14,8,3,3,20,7,+13,27,Pepe Reina,Luis Garc,2
2005-2006,R16,nlAjax,10,4,4,2,17,12,+5,16,Maarten Stekelenburg,Yannis Anastasiou,3
2005-2006,R16,sctRangers,10,3,6,1,14,11,+3,15,Ronald Waterreus,Peter L,4
2005-2006,R16,deBayern Munich,8,4,2,2,12,9,+3,14,Oliver Kahn,Sebastian Deisler,3
2005-2006,R16,deWerder Bremen,10,4,1,5,20,18,+2,13,Andreas Reinke,Johan Micoud,4
2005-2006,R16,engChelsea,8,3,3,2,9,4,+5,12,Petr Čech,Ricardo Carvalho,2
2005-2006,R16,esReal Madrid,8,3,2,3,10,9,+1,11,Iker Casillas,Iv,2
2005-2006,R16,nlPSV Eindhoven,8,3,1,4,4,11,-7,10,Heurelho Gomes,Jefferson Farf,2
2005-2006,GR,chThun,10,4,2,4,11,11,0,14,Eldin Jakupović,Adriano Pimenta,1
2005-2006,GR,skArtmedia,12,3,5,4,14,16,-2,14,Juraj Čobej,Bal,2
2005-2006,GR,itUdinese,8,4,1,3,14,14,0,13,Morgan De Sanctis,Vincenzo Iaquinta,4
2005-2006,GR,engManchester Utd,8,3,3,2,9,4,+5,12,Edwin van der Sar,Ryan Giggs,1
2005-2006,GR,beAnderlecht,10,4,0,6,10,10,0,12,Silvio Proto,Vincent Kompany,1
2005-2006,GR,esBetis,8,3,2,3,6,9,-3,11,Toni Doblas,Arzu,1
2005-2006,GR,beClub Brugge,8,3,1,4,7,8,-1,10,Tomislav Butina,Bo,2
2005-2006,GR,atRapid Wien,10,3,1,6,14,19,-5,10,Helge Payer,Marek Kincl,2
2005-2006,GR,deSchalke 04,6,2,2,2,12,9,+3,8,Frank Rost,Levan Kobiashvili,3
2005-2006,GR,noRosenborg,8,2,2,4,10,14,-4,8,Espen Johnsen,Daniel Braaten,1
2005-2006,GR,grPanathinaikos,8,2,1,5,9,20,-11,7,Mario Galinović,Constantinos Charalambides,1
2005-2006,GR,frLille,6,1,3,2,1,2,-1,6,Tony Sylva,Milenko A,1
2005-2006,GR,ptPorto,6,1,2,3,8,9,-1,5,Vítor Baía,Pepe,2
2005-2006,GR,grOlympiacos,6,1,1,4,7,13,-6,4,Antonios Nikopolidis,Pantelis Kafes,2
2005-2006,GR,trFenerbahçe,6,1,1,4,7,14,-7,4,Volkan Demirel,Alex,3
2005-2006,GR,czSparta Prague,6,0,2,4,2,9,-7,2,Jaromír Blažek,Miroslav Matu,1
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2004-2005,W,engLiverpool,15,8,5,3,20,10,+10,29,Jerzy Dudek,Luis Garc,5
2004-2005,F,itMilan,13,9,3,2,23,9,+14,30,Dida,Hern,6
2004-2005,SF,nlPSV Eindhoven,14,7,3,4,21,15,+6,24,Heurelho Gomes,DaMarcus Beasley,3
2004-2005,SF,engChelsea,12,6,2,4,21,13,+8,20,Petr Čech,Didier Drogba,5
2004-2005,QF,itJuventus,12,7,3,2,15,7,+8,24,Gianluigi Buffon,Pavel Nedv,2
2004-2005,QF,itInter,12,6,4,2,23,12,+11,22,Francesco Toldo,Adriano,7
2004-2005,QF,frLyon,10,6,3,1,29,12,+17,21,Grégory Coupet,Sylvain Wiltord,6
2004-2005,QF,deBayern Munich,10,5,1,4,20,13,+7,16,Oliver Kahn,Roy Makaay,7
2004-2005,R16,esReal Madrid,10,6,2,2,17,11,+6,20,Iker Casillas,Lu,4
2004-2005,R16,frMonaco,10,6,0,4,19,7,+12,18,Flavio Roma,Javier Saviola,4
2004-2005,R16,engManchester Utd,10,5,2,3,19,12,+7,17,Roy Carroll,Ruud van Nistelrooy,8
2004-2005,R16,deLeverkusen,10,4,2,4,21,15,+6,14,Hans-Jörg Butt,Dimitar Berbatov,3
2004-2005,R16,engArsenal,8,3,4,1,13,9,+4,13,Jens Lehmann,Thierry Henry,5
2004-2005,R16,esBarcelona,8,4,1,3,13,11,+2,13,Víctor Valdés,Samuel Eto,4
2004-2005,R16,deWerder Bremen,8,4,1,3,14,16,-2,13,Andreas Reinke,Ivan Klasni,5
2004-2005,R16,ptPorto,8,2,3,3,6,10,-4,9,Vítor Baía,Benni McCarthy,3
2004-2005,GR,uaShakhtar,10,5,1,4,15,13,+2,16,Jan Laštůvka,Julius Aghahowa,2
2004-2005,GR,ruCSKA Moscow,10,4,3,3,10,7,+3,15,Igor Akinfeev,Sergei Semak,4
2004-2005,GR,noRosenborg,10,4,2,4,15,17,-2,14,Espen Johnsen,Thorstein Helstad,2
2004-2005,GR,ilMaccabi Tel Aviv,10,4,2,4,9,12,-3,14,Liran Strauber,Baruch Dego,4
2004-2005,GR,uaDynamo Kyiv,8,4,1,3,14,10,+4,13,Oleksandr Shovkovskiy,Florin Cernat,2
2004-2005,GR,grOlympiacos,6,3,1,2,5,5,0,10,Antonios Nikopolidis,Predrag,1
2004-2005,GR,grPanathinaikos,6,2,3,1,11,8,+3,9,Kostas Chalkias,Ezequiel Gonz,3
2004-2005,GR,trFenerbahçe,6,3,0,3,10,13,-3,9,Rüştü Reçber,Tuncay,5
2004-2005,GR,czSparta Prague,10,2,2,6,8,17,-9,8,Jaromír Blažek,Tom,1
2004-2005,GR,esValencia,6,2,1,3,6,10,-4,7,Santiago Cañizares,Vicente Rodr,2
2004-2005,GR,esLa Coruña,8,1,3,4,3,9,-6,6,José Molina,Desconocido,0
2004-2005,GR,frParis S-G,6,1,2,3,3,8,-5,5,Lionel Letizi,Charles,1
2004-2005,GR,sctCeltic,6,1,2,3,4,10,-6,5,David Marshall,John Hartson,1
2004-2005,GR,nlAjax,6,1,1,4,6,10,-4,4,"Bogdan Lobonț,Hans Vonk...",Tom,1
2004-2005,GR,beAnderlecht,8,1,0,7,7,18,-11,3,Daniel Zítka,Christian Wilhelmsson,2
2004-2005,GR,itRoma,6,0,1,5,4,16,-12,1,Ivan Pelizzoli,Antonio Cassano,1
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Notes,Goalkeeper,Goalkeeper
2003-2004,W,ptPorto,13,7,6,1,20,12,+8,27,Vítor Baía,Benni McCarthy,4
2003-2004,F,frMonaco,13,6,4,4,27,19,+8,22,Flavio Roma,Fernando Morientes,9
2003-2004,SF,engChelsea,14,8,4,2,21,10,+11,28,Carlo Cudicini,Frank Lampard,4
2003-2004,SF,esLa Coruña,14,7,3,4,20,17,+3,24,José Molina,Albert Luque,4
2003-2004,QF,esReal Madrid,10,6,3,1,18,11,+7,21,Iker Casillas,Ronaldo,4
2003-2004,QF,engArsenal,10,5,2,3,16,11,+5,17,Jens Lehmann,Thierry Henry,5
2003-2004,QF,itMilan,10,5,2,3,12,9,+3,17,Dida,Kak,4
2003-2004,QF,frLyon,10,5,2,3,11,11,0,17,Grégory Coupet,Juninho Pernambucano,5
2003-2004,R16,engManchester Utd,8,5,1,2,15,5,+10,16,Tim Howard,Ruud van Nistelrooy,4
2003-2004,R16,ruLoko Moscow,10,4,2,4,12,11,+1,14,Sergei Ovchinnikov,Dmitri Loskov,2
2003-2004,R16,itJuventus,8,4,1,3,15,8,+7,13,Gianluigi Buffon,David Trezeguet,4
2003-2004,R16,deStuttgart,8,4,1,3,9,7,+2,13,Timo Hildebrand,Kevin Kur,3
2003-2004,R16,czSparta Prague,10,3,4,3,11,13,-2,13,Jaromír Blažek,Karel Poborsk,2
2003-2004,R16,esCelta Vigo,10,3,3,4,12,13,-1,12,José Manuel Pinto,Jos,2
2003-2004,R16,deBayern Munich,8,2,4,2,7,7,0,10,Oliver Kahn,Roy Makaay,5
2003-2004,R16,esReal Sociedad,8,2,3,3,8,10,-2,9,Sander Westerveld,Darko Kova,2
2003-2004,GR,sctCeltic,10,6,1,3,18,7,+11,19,Magnus Hedman,Chris Sutton,3
2003-2004,GR,beAnderlecht,10,5,2,3,11,9,+2,17,Daniel Zítka,Aruna Dindane,2
2003-2004,GR,uaDynamo Kyiv,8,4,1,3,13,9,+4,13,Oleksandr Shovkovskiy,Diogo Rinc,3
2003-2004,GR,trGalatasaray,8,4,1,3,12,8,+4,13,Faryd Mondragón,Hakan,5
2003-2004,GR,itLazio,8,3,2,3,10,11,-1,11,Angelo Peruzzi,Simone Inzaghi,3
2003-2004,GR,beClub Brugge,8,3,2,3,8,9,-1,11,Dany Verlinden,Rune Lange,2
2003-2004,GR,nlPSV Eindhoven,6,3,1,2,8,7,+1,10,Ronald Waterreus,Wilfred Bouma,2
2003-2004,GR,nlAjax,8,3,1,4,9,9,0,10,Bogdan Lobonț,Wesley Sonck,4
2003-2004,GR,frMarseille,8,2,2,4,10,11,-1,8,Vedran Runje,Didier Drogba,5
2003-2004,GR,itInter,6,2,2,2,8,11,-3,8,Francesco Toldo,Daniele Adani,2
2003-2004,GR,rsPartizan,10,1,5,4,7,12,-5,8,Đorđe Pantić,Andrija Deliba,3
2003-2004,GR,sctRangers,8,2,2,4,7,12,-5,8,Stefan Klos,Emerson,1
2003-2004,GR,trBeşiktaş,6,2,1,3,5,7,-2,7,Óscar Córdoba,Daniel Pancu,2
2003-2004,GR,grAEK Athens,8,1,2,5,4,13,-9,5,Chrisostomos Michailidis,Vasilios Tsiartas,1
2003-2004,GR,grOlympiacos,6,1,1,4,6,13,-7,4,Fanis Katergiannakis,Nery Castillo,2
2003-2004,GR,grPanathinaikos,6,1,1,4,5,13,-8,4,Antonios Nikopolidis,Michalis Konstantinou,2
