Temporada,Jugador,País,Posición,Edad actual,Partidos jugados,Titular,Minutos,90 Jugados,Goles,Asistencias,Goles + Asistencias,Goles sin penalización,Tiros penales ejecutados,Tiros penales intentados,Tarjetas amarillas,Tarjetas rojas,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Assisted Goals,npxG + xAG,Acarreos progresivos,Pases progresivos,Pases progresivos Rec,Goles por 90 minutos,Asistencias por 90 minutos,Goles + Asistencias por 90 minutos,Goles sin penalización por 90 minutos,Goles sin penalización + asistencias por 90 minutos,xG por 90 minutos,npxG por 90 minutos,xAG por 90 minutos,npxG + xAG por 90 minutos
Federico Valverde,uy URU,CC,25-275,32,30,"2,640",29.3,1.0,7.0,8.0,1.0,0.0,0.0,2.0,0.0,3.3,3.3,5.7,9.0,102.0,221.0,95.0,0.03,0.24,0.27,0.03,0.27,0.11,0.19,0.31,0.11,0.31
Antonio Rüdiger,de GER,DF,31-050,28,27,"2,426",27.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,1.2,2.4,16.0,75.0,1.0,0.04,0.0,0.04,0.04,0.04,0.05,0.04,0.09,0.05,0.09
Rodrygo,br BRA,DL,23-104,31,26,"2,177",24.2,10.0,5.0,15.0,10.0,0.0,1.0,2.0,0.0,10.7,9.9,3.5,13.4,143.0,82.0,274.0,0.41,0.21,0.62,0.41,0.62,0.44,0.15,0.59,0.41,0.55
Jude Bellingham,eng ENG,"CC,DL",20-298,25,25,"2,110",23.4,17.0,4.0,21.0,16.0,1.0,1.0,5.0,1.0,10.6,9.8,4.2,14.0,77.0,169.0,155.0,0.73,0.17,0.9,0.68,0.85,0.45,0.18,0.63,0.42,0.6
Toni Kroos,de GER,CC,34-109,30,22,"1,946",21.6,1.0,7.0,8.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,4.7,6.3,31.0,257.0,26.0,0.05,0.32,0.37,0.05,0.37,0.07,0.22,0.29,0.07,0.29
Aurélien Tchouaméni,fr FRA,"CC,DF",24-086,26,21,"1,897",21.1,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,1.2,1.2,0.7,2.0,26.0,109.0,15.0,0.14,0.05,0.19,0.14,0.19,0.06,0.04,0.09,0.06,0.09
Dani Carvajal,es ESP,DF,32-102,24,21,"1,828",20.3,4.0,2.0,6.0,4.0,0.0,0.0,4.0,1.0,1.1,1.1,2.3,3.4,28.0,74.0,145.0,0.2,0.1,0.3,0.2,0.3,0.05,0.11,0.17,0.05,0.17
Andriy Lunin,ua UKR,PO,25-071,20,20,"1,800",20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Vinicius Júnior,br BRA,DL,23-285,22,20,"1,643",18.3,13.0,5.0,18.0,12.0,1.0,1.0,6.0,0.0,12.0,11.2,3.4,14.7,113.0,47.0,238.0,0.71,0.27,0.99,0.66,0.93,0.66,0.19,0.85,0.62,0.8
Ferland Mendy,fr FRA,DF,28-319,21,19,"1,540",17.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.9,1.0,18.0,78.0,90.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
Eduardo Camavinga,fr FRA,"CC,DF",21-164,25,17,"1,468",16.3,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,0.8,1.5,41.0,83.0,26.0,0.0,0.06,0.06,0.0,0.06,0.05,0.05,0.09,0.05,0.09
Nacho,es ESP,DF,34-095,23,14,"1,362",15.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.5,0.4,0.9,9.0,47.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06
Luka Modrić,hr CRO,CC,38-226,27,14,"1,348",15.0,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,4.9,6.1,45.0,156.0,74.0,0.13,0.27,0.4,0.13,0.4,0.08,0.33,0.41,0.08,0.41
Brahim Díaz,ma MAR,"DL,CC",24-263,27,14,"1,241",13.8,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,5.1,5.1,3.8,8.9,58.0,60.0,140.0,0.36,0.22,0.58,0.36,0.58,0.37,0.28,0.65,0.37,0.65
David Alaba,at AUT,DF,31-303,14,14,"1,154",12.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.7,1.6,9.0,51.0,13.0,0.0,0.08,0.08,0.0,0.08,0.08,0.05,0.13,0.08,0.13
Lucas Vázquez,es ESP,DF,32-296,25,12,"1,215",13.5,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9,3.2,4.1,26.0,48.0,133.0,0.15,0.3,0.44,0.15,0.44,0.08,0.24,0.31,0.07,0.3
Kepa Arrizabalaga,es ESP,PO,29-202,12,12,"1,080",12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joselu,es ESP,DL,34-026,30,11,"1,327",14.7,8.0,2.0,10.0,8.0,0.0,2.0,1.0,0.0,9.3,7.7,1.6,9.3,14.0,16.0,83.0,0.54,0.14,0.68,0.54,0.68,0.63,0.11,0.74,0.52,0.63
Fran Garcia,es ESP,DF,24-252,21,11,"1,053",11.7,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,2.0,2.3,41.0,52.0,101.0,0.0,0.34,0.34,0.0,0.34,0.03,0.17,0.2,0.03,0.2
Dani Ceballos,es ESP,"CC,DL",27-259,14,1,238,2.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.2,1.4,8.0,19.0,14.0,0.0,0.38,0.38,0.0,0.38,0.06,0.47,0.52,0.06,0.52
Éder Militão,br BRA,DF,26-095,4,1,68,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arda Güler,tr TUR,"DL,CC",19-057,5,0,36,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,4.0,1.0,6.0,2.5,0.0,2.5,2.5,2.5,1.13,0.0,1.13,1.13,1.13
Nicolás Paz,ar ARG,"CC,DL",19-227,4,0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31
Gonzalo García,es ESP,"DL,CC",20-029,2,0,19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16
Álvaro Muñoz,uy URU,DL,19-283,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
